,Tweet Text,Informativeness
85,"@AbbieBradyD it's not a memo you wanted to be on, trust me",off-topic
86,Oh dear Sandy.. #Home #IgnorantShit #LookingLikeIm13 #SuperAsian  @ Somewhere in my world http://t.co/axBvzhzV,off-topic
87,@ZMars89 to be honest with you. I don't remember peeing infront of his house ever..,off-topic
88,sandy can't stop me from getting my owab,off-topic
89,NO WE DO NOT HAVE FUCKING ICE !!!  GO THE FUCK HOME !,off-topic
90,Hide yo kids hide yo wives #Sandy,on-topic
91,Are you Don Drapers wife?  BOoM #halloween2012 #madmen http://t.co/ioBGXliU,off-topic
92,Ok - goodbye New Yorkers. I'm outta here! Good luck with the #frankenstorm and stuff...,on-topic
93,#GottaAceMySATexam .. OH LORD: I really wish we found that previously http://t.co/rbnRHSAj ya better get this #TallGirlAppreciationDay pzk,off-topic
94,And out goes my power,on-topic
95,"#RT_ @shakira says: I'm something you'll regret losing, I can promise you that much.",off-topic
96,"@4SHOCinCity so far good, I'm part of emergency staff, I just happen to have day off!",off-topic
97,"I dont even care about the power, I just want this storm to be over",on-topic
98,Really don't mind this sandy thing unless the power goes out,on-topic
99,@stephennyr89 cause I seen people post pictures of flooding &amp; puddles .. Didnt know what was going on out there haha,on-topic
100,Tree Trimming in Nee Jersey http://t.co/SnvLYuLp,off-topic
101,I honestly hate the Volkswagen commercial with the dude singing in the black car,off-topic
102,Oh my god there's an emergency alert in my area I'm fucking scared http://t.co/h5ZoNDkG,on-topic
103,@jacquelinetweet we just happen to be surrounding a tray of vodka Kelly right now while sheltering in our building haha #hurricanefestival,on-topic
104,I want 1st marking period to end already!,off-topic
105,@s_mehalick: Why won't my friends text me?,off-topic
106,This guy Skelton had the job in week 1. Got hurt. Kolb leads them to 4-2 n skelton comes is and is just HORRIFIC,off-topic
107,@SwagisLethal But around 6-8pm with the high tide we will have bad flooding,on-topic
108,@Prarthana_xo I have electricity come over later,on-topic
109,I feel like If we Fall apart You Wouldn't Care. &lt;\3 :(,off-topic
110,@JAZMINrazzles My Soul To Take (:,off-topic
111,"Its sad, when you can't trust someone you involve with",off-topic
112,I'm tighter than a virgin right now since i can't text &lt;&lt;&lt;,off-topic
113,Baby all I need is on,off-topic
114,Can't believe one of the twitter accounts for the hurricane is actually tweeting/promoting4Obama. Be funny bout the storm not talk politics,on-topic
115,@XO_kimx3: #ToMyFutureDaughter you will play softball,off-topic
116,@SBedard23 sounds great love you guys !!,off-topic
117,Teaching your little siblings how to actually be a decent human bieng,off-topic
118,@ufouria_ I don't even like candy so I don't know man lmfao,off-topic
119,Why does my twitter randomly favorite other people tweets #sorryguys,off-topic
120,"@Vikeologist we're a cbs owned and operated station. NY needed crews, we came!",off-topic
121,He ain't nothing like the boy I used to know.,off-topic
122,My first step in MY :) (@ New York Penn Station w/ 79 others) [pic]: http://t.co/X3ZqCD9p,off-topic
123,"@Nikki_217 @_wonderrwoman flounder is just a buzz kill, Arial cannot be tamed. #fucksafety",off-topic
124,!!!!!!!@XSTROLOGY: #Aries cannot stand stagnant relationships. If shit gets boring they will wander.,off-topic
125,@Jikankun @ManaPuddingFox no power in town. both doing fine. driving sucks.,on-topic
126,They can just throw me a couple hundred .,off-topic
127,Lots of people out in #BayRidge #Brooklyn checking out the storm damage. #sandy #sandyaftermath,on-topic
128,about to beg my mom to let me throw down,off-topic
129,"No power, out driving the jeep and charging my phone. Trees down, Does not look like are getting power anytime soon.",on-topic
130,First day of #nnguw started with Mobile Websites and Apps today. So far so good!,off-topic
131,The hurricane updates are most interesting than the Jets games.,on-topic
132,@mikesvehla come to bayonne son,off-topic
133,Marcus Lattimore man prayers up for u man keep fighting South Carolina #21 shyt was terrifying espi ally if you are a football playerlike me,off-topic
134,I should of went to a hurricane sandy party..I'm so bored I'm tweeetin my biscuits off over here #bored #awake,on-topic
135,@HenryEdmondson the big bear was on pix11 news and got interviewed,off-topic
136,"No power, no problem! #blackout #sandy #eastvillagenyc #newyork #hurricanecowboys  @ East Village http://t.co/84LtDMIZ",on-topic
137,@bree_cass this is from rob bc he doesn't have a smartphone at my house: coookkkieeeeeee!!,off-topic
138,@toodopekay_ yea lets hope it pass us quick,on-topic
139,@sirenasmaster well we shall see lol...i aint worried i leave it to God,off-topic
140,Watching tv nd Textin my best friend,off-topic
141,@Valerie_Mia how is it by you Valerie? It's really windy over here.,on-topic
142,The lady on channel 4 news looks like @jekkkkax3 s mom,off-topic
143,Hi Cav vmt WOW.. #HaveToAceMySATexam : ..better get it while u can http://t.co/nN4neU1z,off-topic
144,In love with my bed except for the fact that every move you make something squeaks #thestruggle,off-topic
145,@Fxq_Ya_Feelins u good nobody gon see lmfao,off-topic
146,No normal people leave the airport this early,off-topic
147,Hurricane sandy can suck it,on-topic
148,Frankenstorm? More like zombie apocalypse. (at Manhattan) [pic]  http://t.co/kyzTKAog,on-topic
149,"Promise that you'll sing about me 4eva, promise that you'll sing about me 4...ooOooo",off-topic
150,@nathanandy lol no trauma to little man!,off-topic
151,@steffffuhhknee omg I was just talking about that game. I fucking love it! Lmao,off-topic
152,West side highway downtown is a swimming pool @FrankBeach_  @ Riverside Park North http://t.co/F7uL15nX,on-topic
153,woke up in the worst pain in my knee #IHateRain,off-topic
154,Moving Target! (@ Frankenstorm Apocalypse - Hurricane Sandy w/ 1057 others) http://t.co/ap6Pdf6X,on-topic
155,I hope I'm able to make good friends when I move to Florida in two years :),off-topic
156,"Wind Advisory issued for Union Center, NJ http://t.co/elByuKlj",on-topic
157,"@Robyouells hey brotha, how u dealing with this weather?",on-topic
158,"I'm at Mile End (Brooklyn, NY) w/ 4 others http://t.co/6XNIh6j3",off-topic
159,@dominiloka YES to football but pending on ur tv u might lose the satelite n all that.,off-topic
160,"@SandraMcGarrell I love you all deeply but until you can offer me a Jamba Juice, Whole Foods and Bud Light Lime, I'm staying put. X",off-topic
161,"Got my loud, now I'm ready",off-topic
162,@jvssica get the 5 on sprint..,off-topic
163,"@jessicadelfino: Any chance #Mitt #Romney made this hurricane? #Sandy Our fault bc we depend on govt subways, roads and FEMA. Right?",on-topic
164,What if the power goes out and I'm left with raw cupcakes? That would just be fucked.,on-topic
165,Hehe @cha_patti: @aruna_dawn Can't wait to see your mummy on ITV tonight! Hope all's well.... Lots of chapatti love coming your way xxxxxx,off-topic
166,"Hide your children, hide your wives! (@ Frankenstorm Apocalypse- Hurricane Sandy w/ @beer4molly @y_vo) http://t.co/cwZpTNB7",on-topic
167,omg a huge tree just fell in my backyard so close to my house. this is too scary!,on-topic
168,Love these bitches @jgords nichole_durant brooke_nicholeee92  @ Bamboo Bar http://t.co/so8RUPvA,off-topic
169,I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @sarahjgiann http://t.co/lrH0HeaJ,on-topic
170,Water has officially entered my house.,on-topic
171,LMFAOO  @BollyWoodsOwn: If you text me right now prepare for a long ass conversation,off-topic
172,A fuck nigga that's ; that shit I don't like !!,off-topic
173,Why ppl crying and taking sandy serious? She's just a squirrel.,on-topic
174,Put me as your screen saver so I know it's real,off-topic
175,Storm is supposed to die down around midnight. 3 more hours of hell.,on-topic
176,@Exotic_Asian_: Im really bored in bedddddd. Ahhhhhh I keep changing positions every 5 mins lmao,off-topic
177,: Video Of ConEd Station On FDR And 14th Street Exploding http://t.co/nhU1igZx,off-topic
178,@PrincessReb_: Jaime missed me texting him ugh me too . &amp; if wifi goes I'm done for lmao,off-topic
179,@POInT_at_ASH thanks girl I'm home safe,off-topic
180,@kritzkolesa coolest fork in town,off-topic
181,"out to cnr, wish me luck lmao  i wish",off-topic
182,I need some classic #Halloween movies in my life.,off-topic
183,"I'm at NBCUniversal (New York, NY) http://t.co/LLvUhyrJ",off-topic
184,Just gunna walk everywhere for now on.,off-topic
185,MBFW S2013 FLASHBACK: BEAUTIFUL SILHOUETTES @reemacra!! This i @ Reem Acra Show @ Mercedes-Benz Fashion Week http://t.co/jvCcJMVV,off-topic
186,When she says my name she's mad at me,off-topic
187,Keep hearing a crazy grinding and lights keep flickering but thankfully we're still lit up here in Bayonne! #Sandy #sandyn12nj,on-topic
188,#SATstudyTime .. GOODNESS I really wish my cousin had got that previously http://t.co/vXLm9pTW ya better get this #donttextmeif ckf,off-topic
189,@richard1826 I'm so mad!! It was just his fingertips out! Ughhh,off-topic
190,Who wants to o looting when sandy hits?!,on-topic
191,Omg  @ Consolidated Edison of NY http://t.co/tQ9MSSBa,off-topic
192,"IPHONES ARE OFFICIAL!! STAY FOCUS!!  @ Mott Haven (Bronx, NY) http://t.co/lK2ISQ28",off-topic
193,i wanna go to the park lol,off-topic
194,@iArrestNoCuffs mad ya man pays no mind during da game,off-topic
195,@capitalV @macnrg The CALM before the storm...is over! http://t.co/L6NVT8BM,on-topic
196,@James_Yammouni   good morning! Please pray for your USA east coast fans like me because a horrible hurricane is hitting us very soon 10,on-topic
197,Class canceled Monday &amp; Tuesday.. Perfect,off-topic
198,&amp; if I don't I'm paying someone to come out with me,off-topic
199,"I'm so bored since i have no TV right now that I've heard all the songs on my phone #4,539",off-topic
200,@Heady_Mo Rd better be safe that shit gonna hit tomorrow lol,on-topic
201,@Automotive: Lamborghini Aventador http://t.co/jlnGZPoC because my next boyfriend will drive this! @lorrainepesola,off-topic
202,new york from the Statue of Liberty (crown) http://t.co/62VX2L2B http://t.co/eixNarep,off-topic
203,these hurricane sandy tweets are so hilarious tho,on-topic
204,@_MonyMaknMitch: Think I'm a use this time off to get back n the gym u need too,off-topic
205,trees n wine. #hurricanesupplies #sandy,off-topic
206,@PatriArt: The Days of Our Lies #ObamaSoapOperas  nice,off-topic
207,Maybe now you ignoramus might appreciate school 3-/,off-topic
208,"There's a lot of good cops,volunteers, and emergency responders out there risking it all.. Thanks &amp; my thoughts are with you #hurricanesandy",on-topic
209,My dream of having a fat guinea pig has been fulfilled,off-topic
210,-' LmaO !!!! *grabs sneakers*  @BtwImPretty_: @JahTeflon_ lets get his ass out da pic,off-topic
211,Thank god not every place was affected by the storm! (@ Uncle Louie G's Italian Ices &amp; Ice Cream) http://t.co/NWqRvNip,on-topic
212,I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @megtowe http://t.co/p56xmALz,on-topic
213,"Riding out Sandy @ my in-laws in Leonardo, NJ. My town of Keansburg, NJ is a lake!",on-topic
214,lol @ my aunt saying she's not evacuating because a certain family by her house will be just waiting to steal everybody's shit #realtalk,on-topic
215,@DayanaNarie: Let's fucking go! We about to make a comebackdnt gass.. Stay humble lol,off-topic
216,@bissyv lmaoo I triedd but he's too scared to fall,off-topic
217,"Lunch, meatballs... (@ Meatball Obsession) [pic]: http://t.co/rU8SeHmV",off-topic
218,@RJ_Dizon @yoDenis_ @kervindoee lmao when I saw this I was like I have to show ya,off-topic
219,#GNTGiveaway @GameNTrain is giving away 2800 MS Points! Enter today! http://t.co/v90Kr50r,off-topic
220,U think hurricane Sandy is bad just wait till Hurricane Selver comes hehe,on-topic
221,Ok people so I have to work keep me in your prayers many thanks #sandy2012,on-topic
222,@JLawMiamiDoll I promise I am..  Thats where I was b4..,off-topic
223,I'm saying it as if I'm not taken need this free just love spending time with my Roost,off-topic
224,He's such a fat dike,off-topic
225,Happy 1st Large Milk Chocolate Letters-Anniversary Birthday Gift for Boyfriend Girlfriend-Made to Order http://t.co/99dq39VB,off-topic
226,Read between the lines. What the MTA is trying to say is we're all fucked.,off-topic
227,#SATstudyTime .. OMG I wish my brother found this previously http://t.co/3o2hrJeQ you better get it now #Top10FavoriteSongs utv,off-topic
228,Better be a sick joke,off-topic
229,@Proud_Jamaican_ yeah we in Osric group lol so we pay 16,off-topic
230,What even iz a hurricane...,on-topic
231,@katieguardnuh IM REALLY EXCITED LIKE HELLO CHRISTMAS,off-topic
232,Lumberjack (@ Good Stuff Diner) https://t.co/aF9z9N1b,off-topic
233,@MilanaMay we are all in this together! #sandy #ssaf,on-topic
234,Wooow James Harden to the Rockets?!,off-topic
235,@ColeBronxx: @PorcDaddy no people who have an answer for everything SUCK &lt;&lt;&lt; Not true lol,off-topic
236,@x__fIERCE yeahhh I don't think it will go that far I mean ur talking about over 50 blocks it will travel. I can't c that happening.,off-topic
237,Hocus Pocus is such a great movie,off-topic
238,"Coming soon! @ New York, NY http://t.co/cXDgYXhA",off-topic
239,I don't wanna leave!  @ Central Park http://t.co/T31nX6xf,off-topic
240,She got a big booty,off-topic
241,considering rt 18 has become the raritan river I'm thinking no classes for RU tomorrow,on-topic
242,Oh saamn sandy is basically already here if she boutta enter brigatine,on-topic
243,Watching a movie on Netflix with baby and family &lt;3 perfect way to have a sick night with a hurricane outside lol.,on-topic
244,So if I end up dying in this hurricane can I at least be drunk and eating sushi??,on-topic
245,Ashley Belongs To Tizzies sdq WOW.. #StudyingForTheSAT : hurry before its unavailable http://t.co/pfxlDr5Y,off-topic
246,Walking around my neighborhood right now. I don't normally curse but shit is real out here.,off-topic
247,&amp;&amp; den shoot them wit a bb gun dat holds metal tips,off-topic
248,"East side, west side, power off, power on - looking west from 3rd ave @ 30th http://t.co/aOwU7UEE",on-topic
249,@JTD_23 yeah it is 15 mins away bro!,off-topic
250,My babes not answering #WorriedAsFuckkkkk!,off-topic
251,@emilyjn how is it at your end?,off-topic
252,#SATstudyTime : #OMG // I wish we students had found that earlier http://t.co/h2Mjcuzi hurry before its unavailable #donttextmeif pmb,off-topic
253,"@jdmitch no, just usual sign up/renewal",off-topic
254,Waterfront Strike Team #hurricane #sandy #hoboken #nj @scottygo  @ City of Hoboken http://t.co/75aGDUf8,on-topic
255,"sandy what's good?!  @ Matawan, NJ http://t.co/GjRIxdUM",off-topic
256,"@GaryBYoung it's not that bad, a lot of flooding in the islands, driving around on the mainland right now http://t.co/MyiUUQqI",on-topic
257,@sans_colon @dan_holguin What are you two what'ing about?,off-topic
258,...but I want to make a sandwich @ associated http://t.co/wMEPjGa6,off-topic
259,@MyNameIsDuncan yeah I heard. Are you in jersey or astoria?,off-topic
260,I'm a Jewish mother.  @ Fair Lawn http://t.co/xdzdtlaD,off-topic
261,@RyanNewYork just got done walking my two dogs through Bushwick. You'll make it! I didn't see too much open though.,on-topic
262,@MayniacMax not when ur like right in the middle of it,off-topic
263,Sandy stop me from watching bad girls club reunion last night....freakin bitch!!,on-topic
264,@Jrizz1795 honestly with everything the news is saying I think the world is ending. #thedayaftertomorrow,on-topic
265,"@LeslieMarshall also, read @MittRomney's op-Ed from 09, he did support govt financing for the bailout but after a structured bankruptcy",off-topic
266,"When the tough get going, the going get tough",off-topic
267,My heart is there ..... (@ Frankenstorm Apocalypse - Hurricane Sandy w/ @wolfsmak) http://t.co/Nv4lfJN2,on-topic
268,@Drtysxyministry @fathertim @scottagunn @vapriestess @revlucymeg it's all over but the waiting now. Very little we can do here to prepare.,on-topic
269,@phillipspaeth: I'm eating pop tarts in my bathtub shut up a storm is coming. pic please or better yet can I join you - I love pop tarts.,on-topic
270,@Bethenny Aaand this is why I am among zillions who adore you.,off-topic
271,@Real_Liam_Payne Follow me or I will send hurricane sandy to the uk. I TAKE THAT BACK BBY IM SORRY,on-topic
272,"I hate seeing girls cry , unless ur a whore then u can drown in those tears no problem",off-topic
273,NYC schools never close I've got a bad feeling about this #Sandy,on-topic
274,Took a 20 min nap great,off-topic
275,A random Halloween party. (at @Thompson_LES)  http://t.co/ZFawPkRd,off-topic
276,I feel all I need a quill pen and I'm living like Benjamin Franklin.,off-topic
277,@ChristiniBikini how did you find me? Hahaha but thank you!!,off-topic
278,@b_yeager yours truly... Is one of those 8.2 million. Smh,off-topic
279,We don't approve of this message.  #fuckoffsandy #marijuana #lmao #wut,on-topic
280,I can't do nun if girls like me or think I'm cute or what Eva,off-topic
281,It's 2012.  Why can't our phones &amp; laptops build ad-hoc mesh networks easily during disasters / outages?,on-topic
282,#GottaAceMySATexam .. !!! I really wish I managed to get that previously http://t.co/6fBv6K1X ..better get it while u can AJ McCarron nzw,off-topic
283,"After last night, every relationship I had with someone in #oomf 's house, is down the shitter. #nevergoingback #fuckthat",off-topic
284,KELLY ROWLAND IN THE DEEP,off-topic
285,All I want is my power back,on-topic
286,Everyone serenade the new king,off-topic
287,"100% agreed RT @jessespector: Thanks, NYPD and FDNY. Couldn't pay me enough to do what you do.",off-topic
288,@IzabellaJG thanks! I'm in an area that's barely damaged but thankyou anyway!,on-topic
289,"But hold your breath because tonight will be the night that I will fall for you over again, don't make me change my mind",off-topic
290,That would be great if i actually had friends,off-topic
291,@Bravotv: It's almost time for #AndysHurricaneParty. RT if you're watching and staying safe!!! #sandy #WWHL. I wud but have no power!!,on-topic
292,Attention everyone I lost power,on-topic
293,"Yup, that happened. #sandy  @ Trinity Church Cemetery &amp; Mausoleum http://t.co/z5gtDlqN",on-topic
294,@MsSweetYvette the way you tweet about him seems a lot more than like .... Really,off-topic
295,@casschin yeah you guys must have got shut off when I did! #goodluck man,off-topic
296,"Where everybody at ? ,  Hurrican Sandy got niggas Shook !",on-topic
297,Wtf ? No food at my house . You buggin' if you think i can live without food . I cant !,off-topic
298,Happy birthday Gia! #hurricanebday #finallylegal # @ Gregory's Bar and Restaurant http://t.co/x7on96My,off-topic
299,I hate young minded ass lil boys &amp; lil girls!,off-topic
300,"@WPIX  bayonne park ,hudson county park, stephen r. Gregg whatever they call it now ??? Bayonne,n.j. http://t.co/J0KAC4dE",off-topic
301,The city that never sleeps! http://t.co/AzzHTqpP,off-topic
302,"@youneverdothat @jorgenotgeorge could've easily been mistaken for One who wishes for females to lay prone, for coitus too",off-topic
303,@somuchunfortune Building up a portfolio of firms to work with on their social media strategy,off-topic
304,I thought I heard a plane crashing but now I think it was your passion snapping,off-topic
305,@lizchang_ awww hopefully we can play one more time before it gets cold,off-topic
306,"I wish my boyfriend was here so we could cuddle, womp.",off-topic
307,one of many unbelievable images #Sandy (@ Sandy Aftermathpocalypse 2012 w/ 271 others) [pic]: http://t.co/VT2XMlhY,on-topic
308,My sister is playing cards while  listening to @AsherMonroe ... I'm guessing good luck charm?,off-topic
309,"Someone's ready for #hurricanesandy! @ West Orange, NJ http://t.co/KRnnZL7M",on-topic
310,Wish I was in Jamaica now,off-topic
311,Me ;Mommy can we go to dunkin donuts ? * winks Her;  are you crazy * says Portuguese shit I don't understand. Me; so that's a yes?(:,off-topic
312,Staying home because of the hurricane &lt; Bagels @ La Bagel Delight http://t.co/5NagKRM3,on-topic
313,My dad can do 10 one handed pushups and he's 50 years old and 250 pounds  #getbig,off-topic
314,"I'm at Redemption (New York, NY) w/ 6 others http://t.co/M32tqZmi",off-topic
315,With my mom and sisters. It. Is. Empty. (@ Six Flags Great Adventure Employee Parking) http://t.co/ac7dYnX3,off-topic
316,Phin. And I switched hats  @ Queens Plaza South http://t.co/HylLU52V,off-topic
317,I get scared letting the dogs out. I don't want them to blow away ! Especially my westie.,on-topic
318,@VioRuff omg bubbles im in the red zone im fucking scared to death. The waters gonna come ip.,on-topic
319,I kinda scared of this hurricane I don't even know where to park my car.. Maybe under a bridge but with my luck the bridge will collapse,on-topic
320,@CheyyDior_x3 didn't have anywhere to go ...,off-topic
321,@mackslane: #ToMyFutureSon you'll be a meathead unlike his father,off-topic
322,Why hasn't tech canceled classes?,off-topic
323,@p_ersen I see you've got your priorities in order....,off-topic
324,How you gonna act like a raging cunt and then be all nice ..,off-topic
325,@MelissaViscera Doing so right now thank you,off-topic
326,"I'd take a life for you, to spend my life with you.",off-topic
327,(((((I'm actually really freaked out about the storm))))),on-topic
328,#sandy strikes again @ McCarren Park Track http://t.co/3wKhOJsl,on-topic
329,While everyone is worrying about their houses in Barnegat my brother is on the island during this whole thing,on-topic
330,@Yankeeswidow you too this is bad,off-topic
331,@ChekaDatBITCH with what power it's about to go out,on-topic
332,@Oprah u inspire me a lot,off-topic
333,Whut that made no sense nick,off-topic
334,Yes got my dr. Pepper (:,off-topic
335,So I had this brilliant idea that I could watch some TV on my laptop! Then I realized... Shit. No Internet.  #fail,on-topic
336,To unjailbreak and update to ios 6 or to stay jailbroken? That is the question... #decisionsdecisions #ios6ornot,off-topic
337,!! @Cathleenxo_: #honesthour I wanna be with my boo,off-topic
338,She callin me daddy n I ain't got no daughter,off-topic
339,A blunt after White Castle amazingg,off-topic
340,I'm upset and sad at the same time. I have never been more mind fucked then i am right now.,off-topic
341,All curled up in bed! #warm #cozy #hurricanesandy @ home http://t.co/FYHUUobb,on-topic
342,@justblazed1: @IxVEExI I know you ain't talkin about being soft!... . Dam skippy benfincista!,off-topic
343,"so shine bright, tonight you and i, we're beautiful like diamonds in the skyyyy.",off-topic
344,He more than jus a friend to me,off-topic
345,"Friends, it's ok. I have reinforcement. (@ Riverwalk Bar &amp; Grill w/ 4 others) [pic]: http://t.co/KthuVf7e",off-topic
